team_id_a,team_id_b,team_a_win,team_b_win,total_matches,dominance,point_diff_avg_a,point_diff_avg_b,home_points_avg,away_points_avg
GAL,KLA,1.0,0.0,1.0,1.0,,,,
GAL,LJU,1.0,0.0,1.0,1.0,,,,
GAL,MAD,1.0,2.0,3.0,0.0,,,,
GAL,MAL,1.0,0.0,1.0,1.0,,,,
GAL,MIL,1.0,0.0,1.0,1.0,,,,
GAL,MUN,2.0,0.0,2.0,1.0,,,,
GAL,OLY,3.0,1.0,4.0,1.0,,,,
GAL,PAM,1.0,0.0,1.0,1.0,,,,
GAL,PAN,0.0,2.0,2.0,0.0,,,,
GAL,PAR,1.0,0.0,1.0,1.0,,,,
GAL,RED,1.0,2.0,3.0,0.0,,,,
GAL,SIE,1.0,1.0,2.0,0.0,,,,
GAL,SOP,1.0,0.0,1.0,1.0,,,,
GAL,TEL,1.0,2.0,3.0,0.0,,,,
GAL,TIV,0.0,1.0,1.0,0.0,,,,
GAL,ULK,0.0,1.0,1.0,0.0,,,,
GAL,UNK,1.0,1.0,2.0,0.0,,,,
GAL,ZAL,3.0,0.0,3.0,1.0,,,,
GSS,BAR,0.0,1.0,1.0,0.0,,,,
GSS,GAL,0.0,1.0,1.0,0.0,,,,
GSS,GSS,,,,,-8.4,-9.2,72.1,65.0
GSS,KSK,0.0,1.0,1.0,0.0,,,,
GSS,MAL,0.0,1.0,1.0,0.0,,,,
GSS,MUN,0.0,1.0,1.0,0.0,,,,
GSS,OLY,0.0,1.0,1.0,0.0,,,,
GSS,PAN,1.0,0.0,1.0,1.0,,,,
GSS,SIE,1.0,0.0,1.0,1.0,,,,
GSS,TIV,0.0,1.0,1.0,0.0,,,,
GSS,ZAL,0.0,1.0,1.0,0.0,,,,
IST,ARI,0.0,1.0,1.0,0.0,,,,
IST,ASV,5.0,0.0,5.0,1.0,,,,
IST,BAM,2.0,2.0,4.0,0.0,,,,
IST,BAR,7.0,5.0,12.0,1.0,,,,
IST,BAS,4.0,7.0,11.0,0.0,,,,
IST,BER,6.0,0.0,6.0,1.0,,,,
IST,BUD,1.0,0.0,1.0,1.0,,,,
IST,CAN,1.0,0.0,1.0,1.0,,,,
IST,CED,2.0,1.0,3.0,1.0,,,,
IST,CHA,0.0,1.0,1.0,0.0,,,,
IST,CIB,1.0,0.0,1.0,1.0,,,,
IST,CSK,3.0,9.0,12.0,0.0,,,,
IST,DAR,3.0,0.0,3.0,1.0,,,,
IST,DYR,1.0,2.0,3.0,0.0,,,,
IST,GAL,2.0,0.0,2.0,1.0,,,,
IST,IST,,,,,4.497816593886463,-2.755364806866953,80.90829694323143,78.87124463519314
IST,KHI,3.0,1.0,4.0,1.0,,,,
IST,LEM,1.0,0.0,1.0,1.0,,,,
IST,LIE,2.0,0.0,2.0,1.0,,,,
IST,LJU,1.0,0.0,1.0,1.0,,,,
IST,LMG,1.0,0.0,1.0,1.0,,,,
IST,MAD,9.0,11.0,20.0,0.0,,,,
IST,MAL,3.0,4.0,7.0,0.0,,,,
IST,MCO,2.0,1.0,3.0,1.0,,,,
IST,MIL,17.0,2.0,19.0,1.0,,,,
IST,MUN,4.0,2.0,6.0,1.0,,,,
IST,NIO,0.0,1.0,1.0,0.0,,,,
IST,NOV,1.0,1.0,2.0,0.0,,,,
IST,OLY,12.0,6.0,18.0,1.0,,,,
IST,ORL,1.0,0.0,1.0,1.0,,,,
IST,PAM,4.0,1.0,5.0,1.0,,,,
IST,PAN,10.0,2.0,12.0,1.0,,,,
IST,PAR,4.0,3.0,7.0,1.0,,,,
IST,RED,8.0,0.0,8.0,1.0,,,,
IST,SAS,1.0,0.0,1.0,1.0,,,,
IST,SIE,2.0,1.0,3.0,1.0,,,,
