game_id,game,round,phase,season_code,team_id_a,team_id_b,fast_break_points_a,fast_break_points_b,turnover_points_a,turnover_points_b,second_chance_points_a,second_chance_points_b,defensive_rebounds_a,offensive_rebounds_b,offensive_rebounds_a,defensive_rebounds_b,turnovers_starters_a,turnovers_bench_a,turnovers_starters_b,turnovers_bench_b,steals_starters_a,steals_bench_a,steals_starters_b,steals_bench_b,assists_starters_a,assists_bench_a,assists_starters_b,assists_bench_b,points_starters_a,points_bench_a,points_starters_b,points_bench_b,max_a,minute_prev_a,prev_a,minute_str_a,str_a,max_b,minute_prev_b,prev_b,minute_str_b,str_b,max_lead_a,max_lead_b,minute_max_lead_a,minute_max_lead_b,points_max_lead_a,points_max_lead_b
E2023_112,OLY-MUN,13,REGULAR SEASON,E2023,OLY,MUN,6,8,12,21,12,14,25,13,11,21,6,5,6,6,5,2,1,4,10,5,9,9,51,26,26,43,13,1,0-2,6,13-2,10,24,48-29,27,48-39,21,2,18,1,39-18,0-2
E2023_113,BAR-ULK,13,REGULAR SEASON,E2023,BAR,ULK,2,0,15,9,15,14,22,10,12,17,3,6,6,4,5,2,1,2,15,5,2,11,46,43,42,39,14,26,55-64,32,69-64,11,15,32-31,17,32-42,8,12,6,20,12-4,38-50
E2023_114,ASV-PAM,13,REGULAR SEASON,E2023,ASV,PAM,6,14,11,17,13,6,28,9,12,27,9,9,8,7,7,2,5,2,8,7,11,7,40,15,53,25,8,7,13-16,9,21-16,14,25,41-39,30,41-53,6,23,12,40,28-22,55-78
E2023_115,BAS-RED,13,REGULAR SEASON,E2023,BAS,RED,13,6,9,13,10,17,23,20,12,23,5,5,2,6,2,2,2,1,15,5,10,13,39,48,36,49,8,29,62-62,32,70-62,9,26,62-53,29,62-62,13,0,15,0,43-30,
E2023_116,VIR-TEL,13,REGULAR SEASON,E2023,VIR,TEL,0,6,13,17,12,16,29,14,9,23,6,6,9,1,3,3,4,6,15,7,13,6,57,43,65,25,9,12,28-34,15,37-34,7,28,76-65,29,76-72,11,6,28,12,76-65,28-34
E2023_117,ZAL-MCO,13,REGULAR SEASON,E2023,ZAL,MCO,4,17,8,12,16,18,26,10,18,24,11,1,7,1,4,2,6,3,15,1,6,10,47,32,43,40,11,25,43-51,28,54-51,7,8,16-16,10,16-23,5,10,30,17,59-54,29-39
E2023_118,ASV-PAN,14,REGULAR SEASON,E2023,ASV,PAN,6,2,17,12,21,14,22,13,15,22,9,5,6,8,6,3,3,4,6,11,17,6,52,29,54,35,7,28,53-64,30,60-64,8,10,21-22,12,21-30,2,16,2,16,6-4,25-41
E2023_119,MAD-MUN,14,REGULAR SEASON,E2023,MAD,MUN,8,6,20,17,24,12,26,8,16,21,8,7,11,3,5,4,5,2,7,7,5,4,31,57,52,21,14,31,63-59,35,77-59,8,25,57-45,28,57-53,18,4,35,10,77-59,19-23
E2023_120,BAS-VIR,14,REGULAR SEASON,E2023,BAS,VIR,8,0,8,10,10,13,27,5,10,29,2,7,3,4,2,3,1,3,14,5,12,14,39,42,65,26,6,17,32-37,18,38-37,10,33,70-68,37,70-78,3,14,23,8,49-46,10-24
E2023_121,ZAL-PAR,14,REGULAR SEASON,E2023,ZAL,PAR,5,5,6,23,10,12,19,10,9,20,7,6,6,3,3,1,4,1,8,7,9,5,62,23,70,23,8,21,44-61,23,52-61,8,25,58-64,28,58-72,0,17,0,21,,44-61
E2023_122,TEL-IST,14,REGULAR SEASON,E2023,TEL,IST,17,10,11,21,13,14,26,18,14,22,7,9,9,3,3,2,8,5,13,10,17,3,54,41,56,30,8,9,21-20,10,29-20,7,18,41-39,20,41-46,12,5,34,20,81-69,43-48
E2023_123,ULK-MCO,14,REGULAR SEASON,E2023,ULK,MCO,9,4,5,17,14,6,30,9,17,19,3,6,3,2,4,0,3,2,13,8,7,5,56,30,42,32,6,13,30-28,15,36-28,5,18,42-30,18,42-35,13,2,40,1,86-73,0-2
E2023_124,RED-BER,14,REGULAR SEASON,E2023,RED,BER,9,16,14,10,12,12,22,12,16,23,5,6,9,10,2,8,3,2,14,9,11,10,33,52,39,32,8,20,51-42,23,59-42,6,37,85-65,40,85-71,20,2,36,2,82-62,2-4
